# key	pt-PT	en	es	fr	de	zh-Hans	ar	ja
literal.training_name	O meu campo de treino	My training ground	Mi campo de entrenamiento	Mon terrain d'entraînement	Mein Übungsplatz	我的训练场	ساحة تدريبي	練習場
literal.new_project	Novo projeto — escolhe o perfil	New project — choose a profile	Proyecto nuevo — elige un perfil	Nouveau projet — choisis un profil	Neues Projekt — Profil wählen	新项目——选择类型	مشروع جديد — اختر النوع	新規プロジェクト — 種類を選択
literal.profile_help	Clássico: saltos e cristais. Precisão: dash, paredes e escadas. Salas: portas e elevadores. Combate: projéteis, alvos e torretas.	Classic: jumps and crystals. Precision: dashes, walls and ladders. Rooms: doors and lifts. Combat: projectiles, targets and turrets.	Clásico: saltos y cristales. Precisión: impulsos, paredes y escaleras. Salas: puertas y ascensores. Combate: proyectiles, objetivos y torretas.	Classique : sauts et cristaux. Précision : ruées, murs et échelles. Salles : portes et ascenseurs. Combat : projectiles, cibles et tourelles.	Klassisch: Sprünge und Kristalle. Präzision: Dash, Wände und Leitern. Räume: Türen und Aufzüge. Kampf: Geschosse, Ziele und Geschütze.	经典：跳跃和水晶。精准：冲刺、墙壁和梯子。房间：门和电梯。战斗：投射物、目标和炮塔。	كلاسيكي: قفز وبلورات. دقة: اندفاع وجدران وسلالم. غرف: أبواب ومصاعد. قتال: مقذوفات وأهداف وأبراج مدافع.	クラシック：ジャンプとクリスタル。精密：ダッシュ、壁、はしご。部屋：扉とリフト。戦闘：弾、標的、砲台。
literal.unsaved	Alterações por guardar	Unsaved changes	Cambios sin guardar	Modifications non sauvegardées	Ungespeicherte Änderungen	未保存的更改	تغييرات غير محفوظة	未保存の変更
literal.unsaved_prompt	Queres guardar o mapa antes de continuar?	Save the map before continuing?	¿Guardar el mapa antes de continuar?	Enregistrer la carte avant de continuer ?	Karte vor dem Fortfahren speichern?	继续前要保存地图吗？	هل تريد حفظ الخريطة قبل المتابعة؟	続行する前にマップを保存しますか？
literal.open_json	Abrir mapa JSON	Open JSON map	Abrir mapa JSON	Ouvrir une carte JSON	JSON-Karte öffnen	打开 JSON 地图	فتح خريطة JSON	JSON マップを開く
literal.save_as_map	Guardar mapa como	Save map as	Guardar mapa como	Enregistrer la carte sous	Karte speichern unter	地图另存为	حفظ الخريطة باسم	マップに名前を付けて保存
literal.replace_file	Substituir ficheiro?	Replace file?	¿Sustituir archivo?	Remplacer le fichier ?	Datei ersetzen?	覆盖文件？	هل تريد استبدال الملف؟	ファイルを上書きしますか？
literal.replace	Substituir	Replace	Sustituir	Remplacer	Ersetzen	覆盖	استبدال	上書き
literal.validation	Validação do mapa	Map validation	Validación del mapa	Validation de la carte	Kartenprüfung	地图验证	التحقق من الخريطة	マップ検証
literal.search_cancelled	Pesquisa cancelada. F8 inicia outra verificação.	Search cancelled. F8 starts another check.	Búsqueda cancelada. F8 inicia otra comprobación.	Recherche annulée. F8 lance une autre vérification.	Suche abgebrochen. F8 startet eine neue Prüfung.	搜索已取消。F8 可重新检查。	أُلغي البحث. يبدأ F8 تحققًا جديدًا.	探索を中止しました。F8 で再検証できます。
literal.cannot_finish	Não foi possível concluir	Could not finish	No se pudo completar	Impossible de terminer	Konnte nicht abgeschlossen werden	无法完成	تعذّر الإكمال	完了できませんでした
literal.fix_test	Corrige os erros indicados antes de testar.	Fix the reported errors before testing.	Corrige los errores indicados antes de probar.	Corrige les erreurs indiquées avant de tester.	Gemeldete Fehler vor dem Test beheben.	测试前请修复指出的错误。	صحّح الأخطاء المذكورة قبل الاختبار.	テスト前に表示されたエラーを修正してください。
literal.fix_save	Corrige os erros antes de guardar. O mapa atual continua no editor.	Fix the errors before saving. The current map stays in the editor.	Corrige los errores antes de guardar. El mapa actual sigue en el editor.	Corrige les erreurs avant d'enregistrer. La carte actuelle reste dans l'éditeur.	Fehler vor dem Speichern beheben. Die aktuelle Karte bleibt im Editor.	保存前请修复错误。当前地图仍在编辑器中。	صحّح الأخطاء قبل الحفظ. تبقى الخريطة الحالية في المحرر.	保存前にエラーを修正してください。現在のマップはエディターに残ります。
literal.preview_start	Teste isolado: F5 ou Escape regressa à edição.	Isolated test: F5 or Esc returns to the editor.	Prueba aislada: F5 o Escape vuelve al editor.	Test isolé : F5 ou Échap revient à l'éditeur.	Einzeltest: F5 oder Esc kehrt zum Editor zurück.	独立测试：按 F5 或 Esc 返回编辑器。	اختبار منفصل: يعيدك F5 أو Esc إلى المحرر.	単独テスト：F5 または Esc でエディターに戻ります。
literal.preview_end	De volta ao editor. O teste não alterou o mapa nem o histórico.	Back in the editor. The test did not change the map or history.	De vuelta al editor. La prueba no cambió el mapa ni el historial.	Retour dans l'éditeur. Le test n'a pas modifié la carte ni l'historique.	Zurück im Editor. Der Test hat Karte und Verlauf nicht verändert.	已返回编辑器。测试未修改地图或历史记录。	عُدت إلى المحرر. لم يغيّر الاختبار الخريطة أو السجل.	エディターに戻りました。テストでマップや履歴は変わっていません。
literal.resize	Tamanho em tiles	Size in tiles	Tamaño en casillas	Taille en tuiles	Größe in Kacheln	图块尺寸	الحجم بالبلاطات	タイル数
literal.resize_help	Escreve largura x altura, por exemplo 48 x 18.	Enter width x height, for example 48 x 18.	Escribe anchura x altura, por ejemplo 48 x 18.	Saisis largeur x hauteur, par exemple 48 x 18.	Breite x Höhe eingeben, zum Beispiel 48 x 18.	输入宽 × 高，例如 48 x 18。	اكتب العرض × الارتفاع، مثل 48 x 18.	幅 x 高さを入力（例：48 x 18）。
literal.shrink	Reduzir a grelha?	Shrink the grid?	¿Reducir la cuadrícula?	Réduire la grille ?	Raster verkleinern?	缩小网格？	هل تريد تصغير الشبكة؟	グリッドを縮小しますか？
literal.shrink_warning	Tiles fora da nova área serão cortados. Os objetos são mantidos e validados. Podes desfazer.	Tiles outside the new area will be cut. Objects are kept and validated. You can undo this.	Se recortarán las casillas fuera del área nueva. Se conservan y validan los objetos. Puedes deshacerlo.	Les tuiles hors de la nouvelle zone seront coupées. Les objets seront conservés et validés. Tu peux annuler.	Kacheln außerhalb des neuen Bereichs werden abgeschnitten. Objekte bleiben erhalten und werden geprüft. Rückgängig ist möglich.	新区域以外的图块将被裁剪。对象会保留并验证。可以撤销。	ستُقصّ البلاطات خارج المساحة الجديدة. ستبقى العناصر وتُفحص. يمكن التراجع.	新しい領域の外のタイルは削除されます。オブジェクトは保持して検証します。元に戻せます。
literal.solve_success	Solução confirmada. F8 permite reproduzir a rota.	Solution confirmed. F8 can replay the route.	Solución confirmada. F8 permite reproducir la ruta.	Solution confirmée. F8 permet de rejouer le parcours.	Lösung bestätigt. F8 kann den Weg wiedergeben.	已确认解法。F8 可重放路线。	تأكّد الحل. يمكن لـ F8 إعادة المسار.	解法を確認しました。F8 で経路を再生できます。
literal.solve_unreachable	Há objetivos comprovadamente fora do alcance.	Some objectives are proven unreachable.	Hay objetivos demostrablemente inalcanzables.	Certains objectifs sont prouvés inaccessibles.	Einige Ziele sind nachweislich unerreichbar.	已证实有目标无法到达。	ثبت تعذّر الوصول إلى بعض الأهداف.	到達不可能と確認された目標があります。
literal.solve_uncertain	Pesquisa inconclusiva: não foi encontrada uma rota completa.	Search inconclusive: no complete route found.	Búsqueda no concluyente: no se encontró una ruta completa.	Recherche non concluante : aucun parcours complet trouvé.	Suche ohne Ergebnis: Kein vollständiger Weg gefunden.	搜索结果不确定：未找到完整路线。	البحث غير حاسم: لم يُعثر على مسار كامل.	探索は未確定：完全な経路が見つかりませんでした。
literal.campaign_unsaved	Campanha por guardar	Unsaved campaign	Campaña sin guardar	Campagne non sauvegardée	Ungespeicherte Kampagne	战役尚未保存	حملة غير محفوظة	未保存のキャンペーン
literal.campaign_unsaved_prompt	Queres guardar as alterações à sequência?	Save changes to the stage order?	¿Guardar los cambios en la secuencia?	Enregistrer les modifications de l'ordre des étapes ?	Änderungen der Etappenfolge speichern?	要保存关卡顺序的更改吗？	هل تريد حفظ تغييرات ترتيب المراحل؟	ステージ順の変更を保存しますか？
literal.discard	Descartar	Discard	Descartar	Ignorer	Verwerfen	放弃	تجاهل	破棄
literal.parent_folder	↑ Pasta anterior	↑ Parent folder	↑ Carpeta anterior	↑ Dossier parent	↑ Übergeordneter Ordner	↑ 上级文件夹	↑ المجلد السابق	↑ 親フォルダー
literal.enter_path	Escrever caminho…	Enter path…	Escribir ruta…	Saisir le chemin…	Pfad eingeben…	输入路径…	إدخال المسار…	パスを入力…
literal.open_campaign	Abrir campanha	Open campaign	Abrir campaña	Ouvrir une campagne	Kampagne öffnen	打开战役	فتح حملة	キャンペーンを開く
literal.replace_map_ref	Substituir referência do mapa	Replace map reference	Sustituir referencia del mapa	Remplacer la référence de carte	Kartenverweis ersetzen	替换地图引用	استبدال مرجع الخريطة	マップ参照を置き換える
literal.remove_stage_prompt	Retira apenas a referência da campanha. O ficheiro do mapa permanece disponível. Podes desfazer.	Only the campaign reference is removed. The map file remains. You can undo this.	Solo se quita la referencia de la campaña. El archivo del mapa permanece. Puedes deshacerlo.	Seule la référence est retirée de la campagne. Le fichier de la carte reste disponible. Tu peux annuler.	Nur der Kampagnenverweis wird entfernt. Die Kartendatei bleibt. Rückgängig ist möglich.	只会移除战役中的引用，地图文件仍会保留。可以撤销。	يُزال مرجع الحملة فقط. يبقى ملف الخريطة متاحًا. يمكن التراجع.	キャンペーンからの参照だけを削除します。マップファイルは残り、元に戻せます。
literal.remove_stage_confirm	Retirar etapa?	Remove stage?	¿Quitar etapa?	Retirer l'étape ?	Etappe entfernen?	移除关卡？	هل تريد إزالة المرحلة؟	ステージを削除しますか？
literal.campaign_name	Nome da campanha	Campaign name	Nombre de la campaña	Nom de la campagne	Kampagnenname	战役名称	اسم الحملة	キャンペーン名
literal.stage_id	ID da etapa	Stage ID	ID de la etapa	ID de l'étape	Etappen-ID	关卡 ID	معرّف المرحلة	ステージ ID
literal.campaign_saved	Campanha guardada. Os mapas continuam nos seus ficheiros.	Campaign saved. Maps remain in their own files.	Campaña guardada. Los mapas siguen en sus archivos.	Campagne enregistrée. Les cartes restent dans leurs fichiers.	Kampagne gespeichert. Karten bleiben in ihren Dateien.	战役已保存。地图仍存储在各自的文件中。	حُفظت الحملة. تبقى الخرائط في ملفاتها.	キャンペーンを保存しました。マップはそれぞれのファイルに残ります。
literal.replace_campaign	Substituir campanha?	Replace campaign?	¿Sustituir campaña?	Remplacer la campagne ?	Kampagne ersetzen?	覆盖战役？	هل تريد استبدال الحملة؟	キャンペーンを上書きしますか？
literal.save_campaign_as	Guardar campanha como	Save campaign as	Guardar campaña como	Enregistrer la campagne sous	Kampagne speichern unter	战役另存为	حفظ الحملة باسم	キャンペーンに名前を付けて保存
literal.validation_detail	Detalhe da validação	Validation detail	Detalle de validación	Détail de la validation	Prüfungsdetail	验证详情	تفاصيل التحقق	検証の詳細
literal.valid_campaign	Estrutura válida. Testa a sequência com F5.	Structure valid. Test the sequence with F5.	Estructura válida. Prueba la secuencia con F5.	Structure valide. Teste la séquence avec F5.	Struktur gültig. Reihenfolge mit F5 testen.	结构有效。按 F5 测试关卡顺序。	البنية صالحة. اختبر التسلسل باستخدام F5.	構造は有効です。F5 でステージ順をテストしてください。
literal.campaign_validation	Validação da campanha	Campaign validation	Validación de la campaña	Validation de la campagne	Kampagnenprüfung	战役验证	التحقق من الحملة	キャンペーン検証
literal.structural_limit	A validação estrutural não prova que todos os combates e percursos têm solução.	Structural validation does not prove that every fight and route can be completed.	La validación estructural no demuestra que todos los combates y rutas tengan solución.	La validation structurelle ne prouve pas que tous les combats et parcours ont une solution.	Die Strukturprüfung beweist nicht, dass alle Kämpfe und Wege lösbar sind.	结构验证不能证明所有战斗和路线都可通关。	لا يثبت التحقق البنيوي أن لكل قتال ومسار حلًا.	構造の検証だけでは、すべての戦闘や経路をクリアできるとは限りません。
literal.test_campaign_all	Teste da campanha completa.	Full campaign test.	Prueba de la campaña completa.	Test de la campagne complète.	Test der gesamten Kampagne.	完整战役测试。	اختبار الحملة كاملة.	キャンペーン全体のテスト。
literal.test_campaign_here	Teste desde a etapa selecionada.	Test from the selected stage.	Prueba desde la etapa seleccionada.	Test depuis l'étape sélectionnée.	Test ab der gewählten Etappe.	从所选关卡开始测试。	اختبار من المرحلة المحددة.	選択したステージからテスト。
literal.test_campaign_end	Teste terminado. A sequência e as gravações de jogo foram preservadas.	Test finished. Stage order and game saves were preserved.	Prueba terminada. Se conservan el orden y las partidas guardadas.	Test terminé. L'ordre des étapes et les sauvegardes ont été conservés.	Test beendet. Etappenfolge und Spielstände bleiben erhalten.	测试结束。关卡顺序和游戏存档均已保留。	انتهى الاختبار. حُفظ ترتيب المراحل وملفات الحفظ.	テスト終了。ステージ順とセーブデータは保持されています。
literal.back_campaign	F4: voltar à campanha	F4: back to campaign	F4: volver a la campaña	F4 : retour à la campagne	F4: Zurück zur Kampagne	F4：返回战役	F4: العودة إلى الحملة	F4：キャンペーンに戻る
literal.campaign_preview_help	F5 / Esc: voltar · Enter: etapa seguinte após vencer · F3: comandos · P: pausa	F5 / Esc: back · Enter: next stage after victory · F3: controls · P: pause	F5 / Esc: volver · Enter: etapa siguiente al ganar · F3: controles · P: pausa	F5 / Échap : retour · Entrée : étape suivante après victoire · F3 : commandes · P : pause	F5 / Esc: zurück · Enter: nächste Etappe nach Sieg · F3: Steuerung · P: Pause	F5 / Esc：返回 · 回车：获胜后下一关 · F3：操作 · P：暂停	F5 / Esc: رجوع · Enter: المرحلة التالية بعد الفوز · F3: التحكم · P: إيقاف	F5 / Esc：戻る · Enter：勝利後に次へ · F3：操作 · P：一時停止
literal.empty_campaign	Adiciona mapas de Combate ou Aventura para criar a tua campanha.	Add Combat or Adventure maps to create your campaign.	Añade mapas de Combate o Aventura para crear tu campaña.	Ajoute des cartes Combat ou Aventure pour créer ta campagne.	Kampf- oder Abenteuerkarten hinzufügen, um eine Kampagne zu erstellen.	添加战斗或冒险地图来创建战役。	أضف خرائط قتال أو مغامرة لإنشاء حملتك.	戦闘かアドベンチャーのマップを追加してキャンペーンを作成します。
literal.campaign_shortcuts	Shift+↑/↓: reordenar · Ctrl+S: guardar	Shift+↑/↓: reorder · Ctrl+S: save	Shift+↑/↓: reordenar · Ctrl+S: guardar	Maj+↑/↓ : réorganiser · Ctrl+S : enregistrer	Umschalt+↑/↓: umordnen · Strg+S: speichern	Shift+↑/↓：调整顺序 · Ctrl+S：保存	Shift+↑/↓: ترتيب · Ctrl+S: حفظ	Shift+↑/↓：並べ替え · Ctrl+S：保存
suffix.back_map	 · F4: voltar ao mapa	 · F4: back to map	 · F4: volver al mapa	 · F4 : retour à la carte	 · F4: zurück zur Karte	 · F4：返回地图	 · F4: العودة إلى الخريطة	 · F4：マップに戻る
prefix.rooms	Salas — 	Rooms — 	Salas — 	Salles — 	Räume — 	房间 — 	الغرف — 	部屋 — 
suffix.world_start	  [INÍCIO]	  [START]	  [INICIO]	  [DÉBUT]	  [START]	  [起点]	  [بداية]	  [開始]
literal.new_room_id	ID da nova sala	New room ID	ID de la nueva sala	ID de la nouvelle salle	Neue Raum-ID	新房间 ID	معرّف الغرفة الجديدة	新しい部屋の ID
literal.rename_room_id	Novo ID da sala	New room ID	Nuevo ID de la sala	Nouvel ID de salle	Neue Raum-ID	新的房间 ID	معرّف جديد للغرفة	部屋の新しい ID
literal.delete_room	Eliminar sala?	Delete room?	¿Eliminar sala?	Supprimer la salle ?	Raum löschen?	删除房间？	هل تريد حذف الغرفة؟	部屋を削除しますか？
literal.delete_room_warning	As portas que apontam para esta sala terão de ser corrigidas. Podes desfazer.	Doors pointing to this room must be fixed. You can undo this.	Habrá que corregir las puertas que apuntan a esta sala. Puedes deshacerlo.	Les portes menant à cette salle devront être corrigées. Tu peux annuler.	Türen, die auf diesen Raum zeigen, müssen korrigiert werden. Rückgängig ist möglich.	指向该房间的门需要修复。可以撤销。	يجب تصحيح الأبواب التي تشير إلى هذه الغرفة. يمكن التراجع.	この部屋につながる扉を修正する必要があります。元に戻せます。
prefix.entry_in	Entrada em 	Entry in 	Entrada en 	Entrée dans 	Eingang in 	入口位于	مدخل في 	入口：
literal.door_target_room	Sala de destino da porta	Door destination room	Sala de destino de la puerta	Salle de destination de la porte	Zielraum der Tür	门通向的房间	الغرفة التي يؤدي إليها الباب	扉の行き先の部屋
literal.water_current	Corrente horizontal (-80 a 80)	Horizontal current (-80 to 80)	Corriente horizontal (-80 a 80)	Courant horizontal (-80 à 80)	Horizontale Strömung (-80 bis 80)	水平水流（-80 到 80）	تيار أفقي (-80 إلى 80)	横方向の水流（-80～80）
literal.minimum_weight	Peso mínimo (1–8 t)	Minimum weight (1–8 t)	Peso mínimo (1–8 t)	Poids minimum (1–8 t)	Mindestgewicht (1–8 t)	最小重量（1～8 吨）	الوزن الأدنى (1–8 طن)	必要重量（1～8 t）
literal.open_condition	Condição de abertura	Opening condition	Condición de apertura	Condition d'ouverture	Öffnungsbedingung	开启条件	شرط الفتح	開放条件
literal.open_condition_help	Carga: exige todas as placas do mapa. Exploração: exige recolher a capacidade de salto duplo.	Cargo: requires all map plates. Exploration: requires collecting the double-jump ability.	Carga: requiere todas las placas del mapa. Exploración: requiere recoger la habilidad de salto doble.	Fret : exige toutes les plaques de la carte. Exploration : exige la capacité de double saut.	Fracht: alle Platten der Karte nötig. Erkundung: Doppelsprung-Fähigkeit nötig.	货运：需要激活地图上全部压板。探索：需要取得二段跳能力。	الشحن: يتطلب كل الألواح في الخريطة. الاستكشاف: يتطلب جمع قدرة القفزة المزدوجة.	貨物：マップ上のすべてのプレートが必要。探索：二段ジャンプ能力の取得が必要。
literal.guardian_health	Vida do guardião (1–20)	Guardian health (1–20)	Vida del guardián (1–20)	Vie du gardien (1–20)	Wächterleben (1–20)	守卫生命值（1～20）	صحة الحارس (1–20)	守護者の体力（1～20）
literal.open_conditions	Condições de abertura…	Opening conditions…	Condiciones de apertura…	Conditions d'ouverture…	Öffnungsbedingungen…	开启条件…	شروط الفتح…	開放条件…
literal.open_condition_action	Condição de abertura…	Opening condition…	Condición de apertura…	Condition d'ouverture…	Öffnungsbedingung…	开启条件…	شرط الفتح…	開放条件…
editor.caption	Platform2D 0.24 - Atelier - Aventura	Platform2D 0.24 - Adventure Editor	Platform2D 0.24 - Editor de Aventura	Platform2D 0.24 - Éditeur d'Aventure	Platform2D 0.24 - Abenteuereditor	Platform2D 0.24 - 冒险编辑器	Platform2D 0.24 - محرر المغامرة	Platform2D 0.24 - アドベンチャーエディター
editor.campaign_caption	Platform2D 0.24 — Atelier de Campanhas	Platform2D 0.24 — Campaign Editor	Platform2D 0.24 — Editor de Campañas	Platform2D 0.24 — Éditeur de Campagnes	Platform2D 0.24 — Kampagneneditor	Platform2D 0.24 — 战役编辑器	Platform2D 0.24 — محرر الحملات	Platform2D 0.24 — キャンペーンエディター
literal.connect_door	Ligar porta…	Link door…	Enlazar puerta…	Relier la porte…	Tür verbinden…	连接门…	ربط الباب…	扉をつなぐ…
literal.door_details	Porta — destino e condições	Door — destination and conditions	Puerta — destino y condiciones	Porte — destination et conditions	Tür — Ziel und Bedingungen	门——目标和条件	الباب — الوجهة والشروط	扉 — 行き先と条件
literal.display_name	Nome apresentado no jogo	Name shown in game	Nombre mostrado en el juego	Nom affiché dans le jeu	Im Spiel angezeigter Name	游戏中显示的名称	الاسم المعروض في اللعبة	ゲームに表示する名前
prefix.name	Nome: 	Name: 	Nombre: 	Nom : 	Name: 	名称：	الاسم: 	名前：
suffix.click_change	 — clicar para mudar	 — click to change	 — clic para cambiar	 — cliquer pour modifier	 — zum Ändern klicken	 — 点击更改	 — انقر للتغيير	 — クリックして変更
prefix.activation	Ativação: 	Activation: 	Activación: 	Activation : 	Aktivierung: 	激活方式：	التفعيل: 	起動方法：
literal.touch	ao tocar	on touch	al tocar	au contact	bei Berührung	接触时	عند اللمس	接触時
literal.interact_key	tecla E	key E	tecla E	touche E	Taste E	按键 E	المفتاح E	E キー
literal.switch_conditions	Condições para ativar…	Activation conditions…	Condiciones de activación…	Conditions d'activation…	Aktivierungsbedingungen…	激活条件…	شروط التفعيل…	起動条件…
literal.platform_route	Percurso da plataforma	Platform path	Recorrido de la plataforma	Trajectoire de la plateforme	Plattformpfad	平台路径	مسار المنصة	足場の経路
prefix.dest_x	Destino X: 	Destination X: 	Destino X: 	Destination X : 	Ziel X: 	目标 X：	الوجهة X: 	行き先 X：
prefix.dest_y	Destino Y: 	Destination Y: 	Destino Y: 	Destination Y : 	Ziel Y: 	目标 Y：	الوجهة Y: 	行き先 Y：
prefix.speed	Velocidade: 	Speed: 	Velocidad: 	Vitesse : 	Geschwindigkeit: 	速度：	السرعة: 	速度：
suffix.units	 unidades/s	 units/s	 unidades/s	 unités/s	 Einheiten/s	 单位/秒	 وحدة/ث	 単位/秒
literal.world_start_set	Início do mundo definido nesta entrada.	World start set at this entry.	Inicio del mundo establecido en esta entrada.	Départ du monde défini à cette entrée.	Weltstart auf diesen Eingang gesetzt.	世界起点已设为此入口。	حُددت بداية العالم عند هذا المدخل.	ワールドの開始地点をこの入口に設定しました。
literal.choose_switch	Escolher interruptor	Choose switch	Elegir interruptor	Choisir un interrupteur	Schalter wählen	选择开关	اختر مفتاحًا	スイッチを選択
literal.no_switches	Sem interruptores disponíveis	No switches available	No hay interruptores disponibles	Aucun interrupteur disponible	Keine Schalter verfügbar	没有可用开关	لا توجد مفاتيح متاحة	利用できるスイッチがありません
literal.switch_warning	Coloca um interruptor com T. Cada condição só pode ser adicionada uma vez e o objeto não pode depender de si próprio.	Place a switch with T. Each condition can be added only once and an object cannot depend on itself.	Coloca un interruptor con T. Cada condición solo puede añadirse una vez y un objeto no puede depender de sí mismo.	Place un interrupteur avec T. Chaque condition ne peut être ajoutée qu'une fois et un objet ne peut pas dépendre de lui-même.	Setze einen Schalter mit T. Jede Bedingung darf nur einmal hinzugefügt werden; ein Objekt darf nicht von sich selbst abhängen.	用 T 放置开关。每个条件只能添加一次，对象不能依赖自身。	ضع مفتاحًا باستخدام T. لا يمكن إضافة كل شرط إلا مرة واحدة، ولا يمكن للعنصر الاعتماد على نفسه.	T でスイッチを配置してください。条件は一度だけ追加でき、オブジェクトが自分自身に依存することはできません。
literal.all_switches	Exige TODOS os interruptores	Require ALL switches	Exige TODOS los interruptores	Exige TOUS les interrupteurs	ALLE Schalter erforderlich	需要所有开关	يتطلب كل المفاتيح	すべてのスイッチが必要
literal.no_conditions	Sem condições — sempre disponível	No conditions — always available	Sin condiciones — siempre disponible	Sans condition — toujours disponible	Keine Bedingungen — immer verfügbar	无条件——始终可用	دون شروط — متاح دائمًا	条件なし — 常に利用可能
literal.add_condition	Adicionar condição	Add condition	Añadir condición	Ajouter une condition	Bedingung hinzufügen	添加条件	إضافة شرط	条件を追加
prefix.remove	Remover: 	Remove: 	Quitar: 	Retirer : 	Entfernen: 	移除：	إزالة: 	削除：
literal.dest_x	Destino X	Destination X	Destino X	Destination X	Ziel X	目标 X	الوجهة X	行き先 X
literal.dest_y	Destino Y	Destination Y	Destino Y	Destination Y	Ziel Y	目标 Y	الوجهة Y	行き先 Y
literal.speed_units	Velocidade (unidades/s)	Speed (units/s)	Velocidad (unidades/s)	Vitesse (unités/s)	Geschwindigkeit (Einheiten/s)	速度（单位/秒）	السرعة (وحدة/ث)	速度（単位/秒）
literal.pickup_type	Tipo de recolhível	Pickup type	Tipo de recogible	Type d'objet	Sammelobjekt-Typ	拾取物类型	نوع العنصر القابل للجمع	アイテムの種類
literal.pickup_config	Configurar recolhível	Configure pickup	Configurar recogible	Configurer l'objet	Sammelobjekt einstellen	设置拾取物	ضبط العنصر القابل للجمع	アイテムを設定
prefix.type	Tipo: 	Type: 	Tipo: 	Type : 	Typ: 	类型：	النوع: 	種類：
prefix.quantity	Quantidade: 	Quantity: 	Cantidad: 	Quantité : 	Menge: 	数量：	الكمية: 	数量：
suffix.maximum	 (máximo 	 (maximum 	 (máximo 	 (maximum 	 (maximal 	（最多 	 (الحد الأقصى 	（最大 
literal.station	Estação	Station	Estación	Station	Station	空间站	المحطة	ステーション
literal.gardens	Jardins	Gardens	Jardines	Jardins	Gärten	花园	الحدائق	庭園
literal.glacial	Glacial	Glacial	Glacial	Glacial	Eiswelt	冰川	جليدي	氷河
literal.reactor	Reator	Reactor	Reactor	Réacteur	Reaktor	反应堆	المفاعل	原子炉
literal.platforms	Plataformas	Platforms	Plataformas	Plateformes	Plattformen	平台	المنصات	足場
literal.escape	Fuga	Escape	Huida	Fuite	Flucht	逃脱	هروب	脱出
literal.horizontal	Horizontal	Horizontal	Horizontal	Horizontal	Horizontal	水平	أفقي	横方向
literal.vertical	Vertical	Vertical	Vertical	Vertical	Vertikal	垂直	عمودي	縦方向
literal.active_shots	ativos	active	activos	actifs	aktiv	开启	مفعلة	有効
literal.inactive_shots	desativados	disabled	desactivados	désactivés	deaktiviert	关闭	معطلة	無効
literal.item_power	Potência	Power	Potencia	Puissance	Stärke	威力	القوة	威力
literal.item_rapid	Cadência	Fire rate	Cadencia	Cadence	Feuerrate	射速	معدل النار	連射速度
literal.item_medkit	Kit médico	Medical kit	Botiquín	Kit médical	Heilset	医疗包	حقيبة علاج	回復キット
literal.quantity	Quantidade	Quantity	Cantidad	Quantité	Menge	数量	الكمية	数量
literal.room_theme	Ambiente da sala	Room environment	Entorno de la sala	Environnement de la salle	Raumumgebung	房间环境	بيئة الغرفة	部屋の環境
prefix.environment	Ambiente: 	Environment: 	Entorno: 	Environnement : 	Umgebung: 	环境：	البيئة: 	環境：
prefix.shooting	Disparos: 	Shooting: 	Disparos: 	Tirs : 	Schießen: 	射击：	إطلاق النار: 	射撃：
literal.ledge	Agarrar bordas	Grab ledges	Agarrar bordes	S'accrocher aux rebords	Kanten greifen	抓住边缘	التشبث بالحواف	足場につかまる
literal.cargo_mode	Caixas e peso	Crates and weight	Cajas y peso	Caisses et poids	Kisten und Gewicht	箱子与重量	الصناديق والوزن	箱と重量
literal.sword_mode	Espada e defesa	Sword and guard	Espada y defensa	Épée et garde	Schwert und Abwehr	剑与防御	السيف والدفاع	剣と防御
literal.explore_mode	Exploração e capacidade	Exploration and ability	Exploración y habilidad	Exploration et capacité	Erkundung und Fähigkeit	探索与能力	الاستكشاف والقدرة	探索と能力
literal.jetpack_mode	Jetpack e foguetão	Jetpack and rocket	Jetpack y cohete	Jetpack et fusée	Jetpack und Rakete	喷气背包与火箭	الحقيبة النفاثة والصاروخ	ジェットパックとロケット
literal.swim_mode	Natação	Swimming	Natación	Nage	Schwimmen	游泳	السباحة	水泳
literal.camera	Câmara	Camera	Cámara	Caméra	Kamera	镜头	الكاميرا	カメラ
literal.both_axes	Dois eixos	Both axes	Dos ejes	Deux axes	Beide Achsen	双轴	محوران	縦横両方向
literal.fixed_screen	Ecrã fixo	Fixed screen	Pantalla fija	Écran fixe	Fester Bildschirm	固定屏幕	شاشة ثابتة	固定画面
literal.camera_scroll	Câmara / scroll…	Camera / scrolling…	Cámara / desplazamiento…	Caméra / défilement…	Kamera / Scrollen…	镜头 / 滚动…	الكاميرا / التمرير…	カメラ / スクロール…
literal.movement	Movimento…	Movement…	Movimiento…	Mouvement…	Bewegung…	移动…	الحركة…	移動…
literal.mission_settings	Missão / ambiente	Mission / environment	Misión / entorno	Mission / environnement	Mission / Umgebung	任务 / 环境	المهمة / البيئة	ミッション / 環境
literal.shot_interval	Intervalo entre tiros (segundos)	Shot interval (seconds)	Intervalo entre disparos (segundos)	Intervalle entre tirs (secondes)	Schussintervall (Sekunden)	射击间隔（秒）	الفاصل بين الطلقات (ثوانٍ)	射撃間隔（秒）
