# key	pt-PT	en	es	fr	de	zh-Hans	ar	ja
menu.pause	Em pausa	Paused	En pausa	En pause	Pausiert	已暂停	إيقاف مؤقت	一時停止
hud.win_stats	{shots} disparos · {deaths} mortes · F2 para recomeçar	{shots} shots · {deaths} deaths · F2 to restart	{shots} disparos · {deaths} muertes · F2 para reiniciar	{shots} tirs · {deaths} morts · F2 pour recommencer	{shots} Schüsse · {deaths} Tode · F2 für Neustart	{shots} 次射击 · {deaths} 次死亡 · F2 重来	{shots} طلقة · {deaths} وفاة · F2 لإعادة البدء	射撃 {shots} · 死亡 {deaths} · F2 でやり直す
hud.lab	PLATFORM2D  /  LABORATÓRIO {number}	PLATFORM2D  /  LABORATORY {number}	PLATFORM2D  /  LABORATORIO {number}	PLATFORM2D  /  LABORATOIRE {number}	PLATFORM2D  /  LABOR {number}	PLATFORM2D  /  实验室 {number}	PLATFORM2D  /  المختبر {number}	PLATFORM2D  /  研究所 {number}
item.power	Potência	Power	Potencia	Puissance	Stärke	威力	القوة	威力
item.rapid	Cadência	Fire rate	Cadencia	Cadence	Feuerrate	射速	معدل النار	連射速度
item.medkit	Kit médico	Medical kit	Botiquín	Kit médical	Heilset	医疗包	حقيبة علاج	回復キット
notice.picked	Recolhido: {item} ×{quantity}	Collected: {item} ×{quantity}	Recogido: {item} ×{quantity}	Récupéré : {item} ×{quantity}	Gesammelt: {item} ×{quantity}	已收集：{item} ×{quantity}	جُمِع: {item} ×{quantity}	入手：{item} ×{quantity}
notice.full	Sem espaço para esta quantidade de {item}.	Not enough space for this amount of {item}.	No hay espacio para esta cantidad de {item}.	Pas assez de place pour cette quantité de {item}.	Nicht genug Platz für diese Menge {item}.	空间不足，无法携带这么多{item}。	لا توجد مساحة كافية لهذه الكمية من {item}.	{item}をこれ以上持てません。
literal.air	AR	AIR	AIRE	AIR	LUFT	空气	هواء	空気
literal.active	ATIVA	ACTIVE	ACTIVA	ACTIVE	AKTIV	已激活	نشطة	作動中
literal.free	LIVRE	FREE	LIBRE	LIBRE	FREI	空闲	حرّة	未使用
literal.open	ABERTA	OPEN	ABIERTA	OUVERTE	OFFEN	已开启	مفتوحة	開放
literal.sealed	SELADA	SEALED	SELLADA	SCELLÉE	VERSIEGELT	已封闭	مغلقة	封鎖
literal.cargo_lost	Caixa perdida: puzzle reposto. Os cristais recolhidos foram conservados.	Crate lost: puzzle reset. Collected crystals were kept.	Caja perdida: rompecabezas reiniciado. Conservas los cristales recogidos.	Caisse perdue : énigme réinitialisée. Cristaux conservés.	Kiste verloren: Rätsel zurückgesetzt. Gesammelte Kristalle bleiben erhalten.	箱子丢失：谜题已重置。已收集的水晶保留。	فُقد الصندوق: أُعيد اللغز. احتُفظ بالبلورات المجمعة.	箱を失いました。仕掛けをリセットし、集めたクリスタルは保持します。
literal.double_jump	SALTO DUPLO adquirido! Solta e volta a premir SALTAR no ar. Regressa ao átrio.	DOUBLE JUMP acquired! Release and press JUMP again in the air. Return to the atrium.	¡SALTO DOBLE conseguido! Suelta y vuelve a pulsar SALTAR en el aire. Regresa al atrio.	DOUBLE SAUT obtenu ! Relâche puis appuie à nouveau sur SAUTER en l'air. Retourne à l'atrium.	DOPPELSPRUNG erhalten! SPRINGEN in der Luft loslassen und erneut drücken. Kehre ins Atrium zurück.	获得二段跳！在空中松开再按跳跃。返回中庭。	حصلت على القفزة المزدوجة! اترك القفز واضغط مجددًا في الهواء. عُد إلى البهو.	二段ジャンプを習得！空中でジャンプを離してもう一度押そう。中央広間に戻ろう。
exp.cargo	CAIXAS · empurra e usa como degraus · placas {active}/{total} · R: repor caixas	CRATES · push and use as steps · plates {active}/{total} · R: reset crates	CAJAS · empuja y úsalas como escalones · placas {active}/{total} · R: reiniciar cajas	CAISSES · pousse et utilise comme marches · plaques {active}/{total} · R : replacer	KISTEN · schieben und als Stufen nutzen · Platten {active}/{total} · R: zurücksetzen	箱子 · 推动并用作台阶 · 压板 {active}/{total} · R：重置箱子	الصناديق · ادفعها واستخدمها درجات · الألواح {active}/{total} · R: إعادة الصناديق	箱 · 押して足場にしよう · プレート {active}/{total} · R：箱を戻す
exp.swim	OXIGÉNIO {oxygen}s · SALTAR / cima: subir · baixo: mergulhar · procura bolsas de AR	OXYGEN {oxygen}s · JUMP / up: rise · down: dive · seek AIR pockets	OXÍGENO {oxygen}s · SALTAR / arriba: subir · abajo: bucear · busca bolsas de AIRE	OXYGÈNE {oxygen}s · SAUTER / haut : monter · bas : plonger · trouve des poches d'AIR	SAUERSTOFF {oxygen}s · SPRINGEN / hoch: aufsteigen · runter: tauchen · LUFT suchen	氧气 {oxygen}秒 · 跳跃 / 上：上浮 · 下：下潜 · 寻找空气泡	الأكسجين {oxygen} ث · قفز / أعلى: اصعد · أسفل: اغص · ابحث عن الهواء	酸素 {oxygen}秒 · ジャンプ / 上：浮上 · 下：潜水 · 空気を探そう
exp.escape	FUGA · mantém-te à frente da faixa vermelha · checkpoints permitem retomar o percurso	ESCAPE · stay ahead of the red line · checkpoints let you resume	HUIDA · mantente delante de la franja roja · los puntos de control permiten continuar	FUITE · reste devant la bande rouge · reprends depuis les points de contrôle	FLUCHT · bleib vor der roten Linie · Kontrollpunkte erlauben einen Neustart	逃脱 · 保持在红线前方 · 可从检查点继续	هروب · ابقَ أمام الخط الأحمر · تتيح نقاط الحفظ استئناف الرحلة	脱出 · 赤い帯より前へ進もう · チェックポイントから再開可能
exp.explore_ready	SALTO DUPLO · salta, solta e prime SALTAR no ar · regressa à esquerda	DOUBLE JUMP · jump, release and press JUMP in midair · return left	SALTO DOBLE · salta, suelta y pulsa SALTAR en el aire · vuelve a la izquierda	DOUBLE SAUT · saute, relâche puis appuie en l'air · retourne à gauche	DOPPELSPRUNG · springen, loslassen und in der Luft erneut drücken · nach links zurück	二段跳 · 跳起、松开，再在空中按跳跃 · 向左返回	القفزة المزدوجة · اقفز ثم اترك الزر واضغط مجددًا في الهواء · عُد يسارًا	二段ジャンプ · 跳んで離し、空中でもう一度押そう · 左へ戻る
exp.explore_search	EXPLORAÇÃO · encontra a capacidade no laboratório e regressa ao átrio	EXPLORE · find the ability in the laboratory and return to the atrium	EXPLORACIÓN · encuentra la habilidad en el laboratorio y vuelve al atrio	EXPLORATION · trouve la capacité au laboratoire et reviens à l'atrium	ERKUNDUNG · Fähigkeit im Labor finden und ins Atrium zurückkehren	探索 · 在实验室找到能力并返回中庭	استكشاف · اعثر على القدرة في المختبر وعُد إلى البهو	探索 · 研究所で能力を見つけて中央広間へ戻ろう
exp.crystals_health	CRISTAIS {current}/{total} · VIDA {health}/5	CRYSTALS {current}/{total} · HEALTH {health}/5	CRISTALES {current}/{total} · VIDA {health}/5	CRISTAUX {current}/{total} · VIE {health}/5	KRISTALLE {current}/{total} · LEBEN {health}/5	水晶 {current}/{total} · 生命 {health}/5	بلورات {current}/{total} · صحة {health}/5	クリスタル {current}/{total} · 体力 {health}/5
exp.threat	AMEAÇA A {distance} m	THREAT {distance} m AWAY	AMENAZA A {distance} m	MENACE À {distance} m	GEFAHR IN {distance} m	威胁距离 {distance} 米	الخطر على بعد {distance} م	脅威まで {distance} m
literal.duel_title	PÁTIO DO GUARDIÃO · ESPADA E DEFESA	GUARDIAN'S COURTYARD · SWORD AND GUARD	PATIO DEL GUARDIÁN · ESPADA Y DEFENSA	COUR DU GARDIEN · ÉPÉE ET PARADE	HOF DES WÄCHTERS · SCHWERT UND ABWEHR	守卫庭院 · 剑与防御	ساحة الحارس · السيف والدفاع	守護者の中庭 · 剣と防御
literal.duel_help	[J] golpe · manter [L] defesa frontal · bloquear no último instante permite contra-atacar.	[J] strike · hold [L] to guard forward · a last-second block enables a counterattack.	[J] golpear · mantén [L] para defenderte · un bloqueo preciso permite contraatacar.	[J] frapper · maintenir [L] pour parer · un blocage de dernière seconde permet de riposter.	[J] angreifen · [L] halten zum Blocken · rechtzeitige Abwehr ermöglicht Konter.	[J] 攻击 · 按住 [L] 正面防御 · 最后一刻格挡可反击。	[J] للهجوم · اضغط [L] مطولًا للدفاع · صدّ الضربة في اللحظة الأخيرة للهجوم المضاد.	[J] 攻撃 · [L] 長押しで正面防御 · 直前の防御で反撃可能。
literal.hit	Golpe certeiro!	Direct hit!	¡Golpe certero!	Coup réussi !	Treffer!	精准命中！	ضربة ناجحة!	命中！
literal.guard_parry	O guardião desviou a tua espada.	The guardian parried your sword.	El guardián desvió tu espada.	Le gardien a paré ton épée.	Der Wächter hat dein Schwert abgewehrt.	守卫招架了你的剑。	صدّ الحارس سيفك.	守護者に剣を受け流されました。
literal.guard_wait	Defesa do guardião: espera pela recuperação.	Guardian guarding: wait for recovery.	El guardián se defiende: espera a que se recupere.	Le gardien se protège : attends la fin de sa récupération.	Der Wächter blockt: Warte auf seine Erholung.	守卫正在防御：等待其恢复。	الحارس يدافع: انتظر حتى يتعافى.	守護者が防御中。隙を待とう。
literal.guard_broken	Defesa quebrada!	Guard broken!	¡Defensa rota!	Garde brisée !	Abwehr gebrochen!	防御被破！	كُسر الدفاع!	防御崩し！
literal.player_hit	Foste atingido.	You were hit.	Te han golpeado.	Tu as été touché.	Du wurdest getroffen.	你被击中了。	أُصبت.	攻撃を受けました。
literal.perfect_parry	Desvio perfeito! Contra-ataca com [J].	Perfect parry! Counterattack with [J].	¡Desvío perfecto! Contraataca con [J].	Parade parfaite ! Riposte avec [J].	Perfekt pariert! Kontere mit [J].	完美招架！按 [J] 反击。	صدّ مثالي! هاجم مضادًا باستخدام [J].	完璧な受け流し！[J] で反撃しよう。
literal.blocked_hit	Golpe bloqueado. Gere a resistência.	Attack blocked. Manage your stamina.	Golpe bloqueado. Administra tu resistencia.	Coup bloqué. Gère ton endurance.	Schlag geblockt. Achte auf deine Ausdauer.	攻击被格挡。注意耐力。	صُدّت الضربة. حافظ على قدرتك على التحمل.	攻撃を防いだ。スタミナを管理しよう。
literal.guardian	GUARDIÃO	GUARDIAN	GUARDIÁN	GARDIEN	WÄCHTER	守卫	الحارس	守護者
literal.hurt	ATINGIDO	HIT	HERIDO	TOUCHÉ	GETROFFEN	受伤	مصاب	被弾
literal.vulnerable	VULNERÁVEL	VULNERABLE	VULNERABLE	VULNÉRABLE	VERWUNDBAR	破绽	مكشوف	無防備
literal.guard	DEFESA	GUARD	DEFENSA	GARDE	ABWEHR	防御	دفاع	防御
literal.windup	PREPARA	PREPARE	PREPARA	PRÉPARE	VORBEREITUNG	蓄力	يستعد	構え
literal.strike	GOLPE	STRIKE	GOLPE	FRAPPE	SCHLAG	攻击	يضرب	攻撃
literal.recover	RECUPERA	RECOVER	RECUPERA	RÉCUPÈRE	ERHOLUNG	恢复	يتعافى	回復
duel.status	GUARDIÕES {current}/{total}   VIDA {health}/5   RESISTÊNCIA	GUARDIANS {current}/{total}   HEALTH {health}/5   STAMINA	GUARDIANES {current}/{total}   VIDA {health}/5   RESISTENCIA	GARDIENS {current}/{total}   VIE {health}/5   ENDURANCE	WÄCHTER {current}/{total}   LEBEN {health}/5   AUSDAUER	守卫 {current}/{total}   生命 {health}/5   耐力	حراس {current}/{total}   صحة {health}/5   قدرة التحمل	守護者 {current}/{total}   体力 {health}/5   スタミナ
